ATC_code	pvals	name	group	HR	HR_l	HR_u	p.adj.FDR	N.nonpd	N.pd	NA	direction_change
N06	6.163105814968054e-193	Psychoanaleptics	N	1.8121319878237023	1.7422522041743618	1.8848145712922535	2.521829785246191e-190	923115	3428	0	increase
G04	4.695314326160623e-60	Urologicals	G	1.4128111950792503	1.3554627728280968	1.4725859779805268	9.60618223530078e-58	529429	3370	0	increase
N05	9.797933469654381e-57	Psycholeptics	N	1.3319538740470929	1.2856335881516694	1.3799430404892032	1.336378183308489e-54	1427793	5512	0	increase
A06	2.7145070804200534e-21	Drugs For Constipation	A	1.4965206458966975	1.3767617239193248	1.626696911081691	2.7768161918620456e-19	215584	588	0	increase
N03	7.934105934070592e-20	Antiepileptics	N	1.3543679881533777	1.2688403449263614	1.445660720570076	6.4929810600506406e-18	324746	986	0	increase
C07	3.059472026491994e-16	Beta Blocking Agents	C	1.1674303003001705	1.1248750996172456	1.2115954087015433	2.0864663356357415e-14	768698	4481	0	increase
R03	8.354422551031271e-14	Drugs For Obstructive Airway Diseases	R	0.8330499429859245	0.7940390167428143	0.8739774656862064	4.883537679180981e-12	914396	1977	0	decrease
C09	2.9508188816132637e-12	Agents Acting On The Renin-Angiotensin System	C	0.8790686378890163	0.8478219385499653	0.9114669425064762	1.5092761608210668e-10	988090	4715	0	decrease
N07	7.699968722375343e-12	Other Nervous System Drugs	N	0.6135119483888197	0.5334093547666218	0.7056436252051252	3.5007620891384854e-10	162212	200	0	decrease
H02	1.7896439663462913e-11	Corticosteroids For Systemic Use	H	0.8324312394154327	0.7890867981467407	0.8781565855393417	7.322894648924024e-10	697923	1529	0	decrease
J01	6.905503382395507e-9	Antibacterials For Systemic Use	J	0.9045107700221712	0.8743143215467727	0.9357501220370134	2.5687320402570546e-7	3332744	7643	0	decrease
M05	8.472514455805058e-9	Drugs For Treatment Of Bone Diseases	M	1.2346834404121552	1.1491990013964395	1.3265267339908764	2.8889978462221257e-7	168500	857	0	increase
B01	1.3563137412027565e-8	Antithrombotic Agents	B	1.111302785905912	1.0715538124346653	1.1525262358557853	4.269066845132199e-7	1024704	5859	0	increase
A11	2.2559397649386985e-8	Vitamins	A	1.1819727574396497	1.1146923348204465	1.253314081104295	6.593493911006979e-7	484141	1257	0	increase
C01	1.0942621730741562e-7	Cardiac Therapy	C	1.1475230526465088	1.090697633862883	1.2073090795030592	2.985013318257659e-6	337842	1823	0	increase
S01	3.354301911041103e-7	Ophthalmologicals	S	1.0978872170257712	1.0592009364184325	1.1379864762812315	8.57824236871341e-6	1785386	4922	0	increase
S03	1.813186013776194e-6	Ophthalmological And Otological Preparations	S	0.8015414667357689	0.7319413169970456	0.8777598804406896	4.364249638958753e-5	226930	484	0	decrease
H01	1.0358023384232252e-5	Pituitary And Hypothalamic Hormones And Analogues	H	1.635570039494566	1.314308688337855	2.0353584951761348	2.3546183685499523e-4	98048	81	0	increase
D07	2.109233780280743e-5	Corticosteroids, Dermatological Preparations	D	0.915460274412358	0.8789443083333889	0.9534933056410048	4.542419743050119e-4	1164306	3014	0	decrease
P01	2.866449205909829e-5	Antiprotozoals	P	0.820720801868798	0.7481682004301388	0.9003090939081679	5.864492029167091e-4	296651	466	0	decrease
D01	4.110394291430556e-5	Antifungals For Dermatological Use	D	1.1244374758581137	1.063146789432156	1.1892615861535738	8.009037638798738e-4	503005	1374	0	increase
R05	6.350358040743742e-5	Cough And Cold Preparations	R	0.9231241152828824	0.8876367975246927	0.96003019995698	0.00118111361786805	1367764	3373	0	decrease
B03	2.7444282367934696e-4	Antianemic Preparations	B	1.109008465529907	1.048886054185267	1.172577108551926	0.00488247680337586	477944	1431	0	increase
A12	9.544729948347356e-4	Mineral Supplements	A	1.1047601264146294	1.0413530852738344	1.172027964554142	0.01627303465068398	385811	1287	0	increase
N02	0.0010620715752829	Analgesics	N	1.0586369950251553	1.023128781131273	1.0953775398603482	0.01738320783723649	2298856	6016	0	increase
D02	0.0011896154790385601	Emollients And Protectives	D	0.4553580679131946	0.2829880635478452	0.7327198448374853	0.01872187771066895	64351	18	0	decrease
C08	0.00132623452088897	Calcium Channel Blockers	C	0.9316077735509934	0.8921725255954732	0.972786113494552	0.02009891944341386	538810	2656	0	decrease
J07	0.0018967929720514	Vaccines	J	0.8747436275515919	0.8039060943126165	0.9518231287901674	0.02771903112404603	314146	567	0	decrease
L01	0.00210407193481308	Antineoplastic Agents	L	0.6781139354287773	0.5293975976644438	0.8686070950291133	0.0296878489224764	47843	63	0	decrease
L04	0.00237666919062223	Immunosuppressants	L	0.8248417854627976	0.7284976928885938	0.933927420343253	0.0324163137576503	119518	254	0	decrease
